temp_id,id,id_prev_arg,Argument
1,CA4A1,A44CA4,"This entirely depends on the industry and type of job. For a job that requires a degree, work ethics and experience will not be enough."
2,CA4A2,A44CA4,A degree is necessary to use as a tool to differentiate between candidates
3,CA4A3,A44CA4,Not everyone has the money to do further education therefore the fees should be abolished
4,CA4A4,A44CA4,A degree is important not only only for the better job perspectives but also for self confidence. The employer would hire someone with the High job ethics and experience AND the academic knowledge will  
5,CA4A5,A44CA4,A degree is important as it demonstrates self discipline and a desire to self improve. 
6,CA4A6,A44CA4,"Nowadays many companies complain about lack of talents; they become less competitive and their performance is not so good as they expect. All because they lack talented employees. At the same time, many talented young people can not develop their skills and gain knowledge, because they are too poor to pay for the education. Wouldn't that be beneficial for companies and future young specialists, if the fees decrease?"
7,CA4A7,A44CA4,"University studies do not just provide a degree, people get trained to critically think. "
8,CA4A8,A44CA4,Work experience can also be gained by studying at university as there are courses which involve a year in industry. Work ethics are also acquired by taking part in group projects at university. 
9,CA4A9,A44CA4,With a degree you are able to expand on this work experience and if you have the opportunity to study for a degree and further your education you will stand a better chance when competing for jobs
10,CA4A10,A44CA4,Taking your point that degrees may not be necessary there are still other costs to prevent people taking their course too lightly. A financial deterrence shouldn't be one of them.
11,CA2A1,A60CA2,In other countries (like Germany) universities are free but the taxes are not necessarily much higher.
12,CA2A2,A60CA2,More likely to get jobs that earn decent wages and start contributing via Tax and NI
13,CA2A3,A60CA2,The government spends money on other things like weapons and wars  but they should think of the people in UK 
14,CA2A4,A60CA2,By offering more diverse opportunities the Government will gain more highly qualified workers
15,CA2A5,A60CA2,"In Scotland, tertiary education is free, and nobody complains about how it is funded. "
16,CA2A6,A60CA2,"Well, our economy will benefit from getting more young talents involved, so the level of UK citizens' life will grow"
17,CA2A7,A60CA2,we pay enough taxes  but not all pay what they should. Make the tax dodgers to pay what they should.
18,CA2A8,A60CA2,"It is better for taxes to go towards important causes such as higher education, than it is for them to go to people falsely claiming benefits"
19,CA2A9,A60CA2,Other things could be implented into the university to raise money for the university therefore limiting the effect on taxes
20,CA2A10,A60CA2,"Not necessarily if universities are encouraged to become more self funding, i.e through renting out facilities/accomadation when not in use or use the minds of student to solve commercial problems. Like a human equivalent of renting super computer time."
21,CA4bA1,A18CA4,The student loan interest rates are quite high and students end up repaying much more than they initially borrowed. 
22,CA4bA2,A18CA4,Financial education is lacking to assume that uni age students can deal with the debt efficiently 
23,CA4bA3,A18CA4,Not many students are able to pay back the loan 
24,CA4bA4,A18CA4,"The banks are earning money on providing loans to students and they will not work without gaining profit from the loans. Students still need to repay a massive amount of money, when they could actually step on the property ladder earlier"
25,CA4bA5,A18CA4,"It's ridiculous to saddle young people with lifelong debt because they want to be educated. Education should not see employment (and the ability to repay a loan) as the end goal, but rather as a human right. "
26,CA4bA6,A18CA4,Student loans and high fees still make education less appealing for the prospective students
27,CA4bA7,A18CA4,With future uncertainty becoming the rule young people from low income families will not want this heavy loan burden. So back to the rich getting educated and the poor ........................
28,CA4bA8,A18CA4,"Loans still have to be paid back. As soon as the graduate starts earning enough, the banks take a huge proportion of their salary"
29,CA4bA9,A18CA4,Students who come from less wealthy backgrounds will feel at a disadvantage and may be less likely to attend uni because of the fees. All inidividuals should be able to attend university regardless of their parents financial situation
30,CA4bA10,A18CA4,"Even with this, students can be naive and misspend the maintenance loans given to them. Wasting government resources that could be spent elsewhere, where it would be more efficiently spent."
31,CA1A1,A11CA1,But what if someone really wants to be an engineer? Then this person should be able to go to university
32,CA1A2,A11CA1,easier to get education now rather than later in life
33,CA1A3,A11CA1,Everyone should have the right to an education bcoz so many don't have the money to pay fees so they loose out and they have the potential to study and become something 
34,CA1A4,A11CA1,"University do not only provide doctors and engineers degrees, there are plenty of other possibilities and fields to grow. Each area need their own highly knowledgeable and qualified staff. The degree should be a choice which do not depend on the finances."
35,CA1A5,A11CA1,"Education is about far more than being an engineer: it's about lifeliong learning, confidence, self worth... "
36,CA1A6,A11CA1,It's talent and ability to work hard what makes a person a good doctor or engineer. Money only can not make you a nice specialist
37,CA1A7,A11CA1,"Every job is becoming more and more specialized, further education does not produce only doctors and engineers, it also trains minds"
38,CA1A8,A11CA1,But why should somebodyâ€™s background stop them from pursuing any career. A poor person can be just as good a medic as a rich person. 
39,CA1A9,A11CA1,There are however you are essentially saying that not everyone can be a doctor or engineer only people from a wealthy background can have these careers. Whereas a student from a less wealthy background may be fantastic and be able to creat a cure for cancer but because their parents arent wealthy they never recieve the training
40,CA1A10,A11CA1,"The decision for what career path a young person can take should not be inhibited by whether it can be afforded or not. The government should help enable anyone to thrive in whatever educational path they choose, else this country could be denied great talent put off by the high cost of entry to university."
41,CA6A1,A53CA6,NAN
42,CA6A2,A53CA6,Value for money from the courses available can be questionable if all university's  charge the same amount 
43,CA6A3,A53CA6,9k is very hard to get and also to pay student loan back can be difficult if they don't a good pay job 
44,CA6A4,A53CA6,"Of course Universities need financial support too, it is a Government affair and support. When individuals decide to go to University, they hope to get high paid jobs,"
45,CA6A5,A53CA6,The prospect of having to pay back a loan once a certain level of income is reached may put young people off applying for jobs which will lead to a well paid career. 
46,CA6A6,A53CA6,Many talented young people still won't be able to afford it
47,CA6A7,A53CA6,"Your argument is rubish. The high loan burden affects people in many other ways, i.e mortgages, start business loans, etc."
48,CA6A8,A53CA6,"Those with a masters will be at the level of repayment very quickly, and will then be worse off because theyâ€™ve continued their education "
49,CA6A9,A53CA6,Are the fees ever actually paid back. You have students who dont care about further education still going. 
50,CA6A10,A53CA6,"Given that many graduates don't get close to paying off their loans before the write off date, leaves the burden of funding universities to those who end up in careers that happen to pay well. This is too asymmetric a system that disadvantages and puts off some from pursuing high income careers."
51,,A44CA18,Taking out a loan is not something that students should have to do to go to university as there is no guarantee they will be able to pay it off afterwards.
52,,A44CA18,"Many people struggle to finance their lives as it is. Being poor should not be a barrier to education. For many folk, an extra loan is just not possible."
53,,A44CA18,Many potential university students would still find it affordable and therefore would not take a loan.
54,,A44CA18,We are not talking about Â£500 loan. Not many professionals would be eligible for the such amount to borrow.
55,,A44CA18,"Some people may not be in a position to find funds for uni fees, they may have other financial responsibilities"
56,,A44CA18,i agree with B2
57,,A44CA18,"Determination alone is not enough to provide finances needed to attend university. Without the educational experience needed to find a stable job, how can underprivileged students raise the funds to attend university?"
58,,A44CA18,Burdening students with a large amount of debt is bad for personal finances across the country and bad for the economy in the long term.
59,,A44CA18,The fees are their current level are too high and will put students off. Lower fees would attract more students.
60,,A44CA18,yes but it still puts a lot of pressure on students. Especially non-stem. They do not use any expensive equipment and should be able to enjoy studying just for the sake of it (even if they wont use their degree)
61,,A60CA8,"Not everyone is entitled to these loans, especially the international students who would create diversity."
62,,A60CA8,Not everybody is able or willing to take a student loan. See previous argument. 
63,,A60CA8,Diversity in the student population means a more wider amount of people get a university education that will benefit society.
64,,A60CA8,The student loans still need to be repaid. 
65,,A60CA8,"Some people may just go to university for the ""lifestyle"" i.e. partying etc. If they have to pay themselves there more likely to manage lifestyle choices better"
66,,A60CA8,Free education can be taken for granted if its made free
67,,A60CA8,He problem is that there isnâ€™t an equal opportunity to finance education through student loans. Those in less fortunate financial situations will still be far less inclined to take out loans.
68,,A60CA8,"Diversity is an aim amongst all areas of society, and increasing the diversity will help to increase diversity in general, especially if it removes significant barriers for underprivileged people to attend university."
69,,A60CA8,There is equal opportunity but not always equal ability. Those from less privileged backgrounds might not be educated to know about funding or their parents might not be able to complete the application forms to get the students the means based funding.
70,,A60CA8,Many teenagers whose parents did not go to uni and never took a loan might be talked out by their parents
71,,A18CA6,Students who have only just become legal adults should not have to take out a loan or get themselves into debt just to go to university as it is likely that at that age they will not understand the consequences of a loan.
72,,A18CA6,"Students could find themselves deliberately only accepting low paid jobs, in order to avoid paying back the loan. If money is tight and their salary only just means they have to repay the loan, that might be a debt too far. "
73,,A18CA6,It is still good for students to be forced to have to pay back a large loan even when they are earning enough to repay the amount.
74,,A18CA6,"The aim of the University degree is to get high paid jobs, therefore the they income will exceed a certain level"
75,,A18CA6,"If they dont learn financial responsibility at university, this may lead to debt in later life, i.e. being given money without having to work for it "
76,,A18CA6,There is always education loan which is at very low interest rate and gives plenty of time for repaying and currently it can get waived off as well if student cannot afford even after graduating adutating 
77,,A18CA6,"Students in less stable financial situations will may be concerned about exceeding that income in the future, dissuading them from taking out a loan in the first place."
78,,A18CA6,"Student loans only cover so much and only start after studying, you still need to put up a not insignificant amount of money to get going. And paying back the loans amounts to, in effect, a 9% tax on graduates."
79,,A18CA6,"They still have to have the money available to pay for living expenses and accommodation. Some students are not able to get the maintenance loan due to their parents income, yet their parents cannot spare the money to support them."
80,,A18CA6,"Apart from the loan for the fees, students will also somehow have to cover living costs which just adds up to the money they will have to repay later or work alongside uni"
81,,A11CA5,"There are other options available, free education would not automatically require raised taxes."
82,,A11CA5,"As noted in previous questionnaire, it's not an issue in Scotland, where university education is already free and nobody complains about it. "
83,,A11CA5,The more people in society from less privileged backgrounds who are able to attend university is good for society and therefore desirable.
84,,A11CA5,"It is not about all getting University degree, it is about being available for all, so everyone has an equal opportunity"
85,,A11CA5,"In that case, then students should pay for primary and secondary school, learning is a human right"
86,,A11CA5,Agree with A2 as it government cannot afford free education for all hence why we have scholarships which can be used by the students who really good at there studies rather being mis used by all students 
87,,A11CA5,An increase in taxes is unnecessary. A redistribution of government funding is a more feasible solution.
88,,A11CA5,University was free for a long time as it was generally accepted to be a worthy investment in the country's future. Graduates free of debt have more income to place back into the economy.
89,,A11CA5,"The government are still paying for the loans and probably won't see the money back when the loans are written off in 30 years time. Cheaper education and higher taxes is more sustainable than relying on students to pay back the loans, which they won't."
90,,A11CA5,In other countries it seems to work without taxes being significantly higher than in the UK
91,,A53CA8,"Whilst there are more people attending, there are also more who find university doesnâ€™t help them and they are then in debt as a result. If it were free this would not be a problem."
92,,A53CA8,The standard of education and available degrees has fallen. Getting a degree is very easy now. 
93,,A53CA8,Most students still come from weathier backgrounds and those who cannot afford it are still not finding it accessible to attain higher education degrees.
94,,A53CA8,"Population grow, so grow the amount of people going to University. Also, a lot of universities  have they outreach staff, who promotes higher education in the wider community.However there are still a lot of people, who  are still not aware that University is an option for them"
95,,A53CA8,Some people get in debt whilst at uni as they are unable to survive living costs due to low student low and drop out without completing their course
96,,A53CA8,Education is taken seriously now which is essential in life and has become a vital task in life 
97,,A53CA8,You canâ€™t wholly attribute the rise in university attendees to the cost of education. There are many other economical and social factors at work.
98,,A53CA8,"More people go now because the developed world is extending its record peacetime stretch and so the focus can be on educating more people, so more people go because more places become available, not because of tuition fees."
99,,A53CA8,"It is more widely accessible, but there is also a greater financial burden than ever before."
100,,A53CA8,Yes but that is because there are more universities and more people than in the past. people also have more personal debt than ever before
101,,A44CA19,NAN
102,,A44CA19,Everyone should have the opportunity to do further education if they wish to 
103,,A44CA19,How can we expect to have world class leaders and researchers if most people cant 
104,,A44CA19,"University fees cost a lot, especially for students who are just starting out. "
105,,A44CA19,"People should only be encouraged to go to university if they are academically able. It should be based on brains, not finances. "
106,,A44CA19,This creates and encourages a social lottery whereby those who are born into an affluent family are more forthnate
107,,A44CA19,Many types of career require university educated students and so the more people who are able to gain a degree is good for society.
108,,A44CA19,"Some students will never afford to pay back the loans, as a lot of degrees do not result in a high paying job at the end."
109,,A44CA19,Education is used to develop a students skills and knowledge as well as their research and presentation skills. These skills are transferable to the world of work in many industries. We require a population of educated people ot drive forwards innovation to create jobs and security.
110,,A44CA19,NAN
111,,A60CA9,"People from lower classes would be put off by these costs, whereas if there were no fees, they would feel more comfortable achieving a place and more willing to attend"
112,,A60CA9,Some people really want to do a degree but not able to bcoz of the very high fees 
113,,A60CA9,People most of the time dont pay it back fully and the interest is too high to make a reasonable dent so it is also hurting government funding
114,,A60CA9,Many students have issues taking out loans and just donâ€™t have the money to pay the extortionate fees. 
115,,A60CA9,Poor students will be afraid to take on perhaps even more debt. See my answer in previous questionnaire. 
116,,A60CA9,For some people they cannot afford to actually live at university and cover costs without a bigger grant or without financial support. Lumbering students with debts for the rest of their lives who already acrue debts is just unfair 
117,,A60CA9,If those people who are from less weathy backgrounds are deterred from taking tuition fees due to high costs then that is not good for the university system in this country.
118,,A60CA9,Young people from poorer backgrounds may have less financial backing and are unable to take on the large cost of doing a degree
119,,A60CA9,Whilst true that a person would pay to pursue their chosen field of study they may not wish to take on the financial responsibility for a loan as they do not have the level of debt tollerance required for this. They may also come from societies that will not accept the loans as they use interest payments making htem incorrect to use under the religious beliefs. Other education routes that are none degree can lead to the same outcomes at lower cost to the student or country.
120,,A60CA9,It is very difficult to tell what you want at 18. People should have the opportunity to try out different things without risking of losing thousands of pounds
121,,A18CA19,"But you also have an overdraft that most students end up going into, and also student loans are dependant on the financial income of their home, not everyone is entitled."
122,,A18CA19,Even students loans are difficult to pay back not everyone gets a good paid job 
123,,A18CA19,If the student cant pay it back it adds more and more stress to the student
124,,A18CA19,"Student need to save their money for other issues surrounding university such as accommodation, bills and food. "
125,,A18CA19,People shouldn't feel they can't apply for better paid jobs because they're afraid of having to pay back a huge debt. 
126,,A18CA19,What is the point in this then. If the government is never going to get the money back they are getting themselves into debt by lending it 
127,,A18CA19,Forcing university students into the financial burden of a tuition loan will not encourage more people to apply to university and so therefore is a bad idea in general.
128,,A18CA19,The large interest rates associated with student loans mean that students will be paying loans back their entire working life
129,,A18CA19,The student loan is not a pay it back when you can. IT is pay it back when your income goes above a certain level. This level can be changed by governments without recourse to current borrowers. It takes no account of how affordable the repayments are to the individual on a person by person basis. One person could be unencumbered by a family and another have a family of 5. They could have the same income but their expenditure would be much higher. This is not taken into account.
130,,A18CA19,Interest rates are very high and the high fees discourage students from trying out different things. They might get stuck in a degree they don't like but feel they need to finish
131,,A11CA10,"By not making university readily available for everyone, we're not giving everyone a fair chance, people from poorer backgrounds or live in certain locations don't even think about uni because they don't understand the way uni pricings work, they just think they need to pay ridiculous amounts of money and are forever in debt if they want to go to uni, so never even entertain the thought."
132,,A11CA10,Maybe reduce the income of the royal family and help students get their  education 
133,,A11CA10,The fear of the cost is preventing many people from getting degrees
134,,A11CA10,Students should be able to focus on their university course without worrying about having to pay back a student loan. 
135,,A11CA10,There's nothing wrong with taxing society in order to educate society. 
136,,A11CA10,Interest is added on and this added debt until you earn a certain amount still puts pressure on young people 
137,,A11CA10,Further taxation is used to fund good university education for a wider amount of people would still be a more better method.
138,,A11CA10,Maintenance loans given to students are often not enough for students to live on without help from family also
139,,A11CA10,"I think that education should be for everyone ad be free. The university fees are inflated to whatever the government sets no matter what the reputation of the university or the course of study. Better to remove the artificial barrier and let market forces dictate the cost of the courses. By using a tax on everyone this artificail barrier is removed. Accusations could, of course, be levelled that this would make a degree at better perceived institutions more open to those with capital than those without thus making them only for the elite."
140,,A11CA10,Other countries like Germany someone manage to have a fair tax system and free and excellent education
141,,A53CA13,"By making it up to the state, people aren't getting a fair chance, if you're in one location why should you get different rules, it would make one uni in a location have no applicants"
142,,A53CA13,Yes state should help in educating people to higher levels 
143,,A53CA13,"The amount of student finance you get is not right for the amount the courses cost, most people simply cannot afford accomodation etc with that allowance"
144,,A53CA13,Some families are from a poor background and would struggle to pay the university fees or get a loan. 
145,,A53CA13,I'm not sure what this statement means. 
146,,A53CA13,Some people need to get another qualification to pursue their dream career. Why should they be unable to pursue this because they are not wealthy 
147,,A53CA13,Graduates will not find it desirable to take on such a large financial burden and as such will most likely deter other people from doing the same.
148,,A53CA13,There should be greater help available for those from disadvantaged backgrounds to encourage more involvement in higher education
149,,A53CA13,"This question ties all education to that of a tiny profession with arcane rules of progression. In this situation then, based on the assumption that they would not be paid for the internship, they would need to borrow. In any profession that requires an internship the student must be given access to funds based on a needs assessment. Alternatively, as in teaching, the student needs to be paid for the internship by the organisation employing them, i.e. chambers. This can then be recovered later for the student upon their successful completion of the internship and entry into employment. "
150,,A53CA13,NAN
151,,A68CA9,This can be circumvented with entry requirements and exams (like is happening at this moment). Money does not decide whether someone has the skills or not 
152,,A68CA9,"Equally, someone may have the skills and talent but not the funding to get the qualifications and education, limiting the success they achieve during their life."
153,,A68CA9,"Given the right tools, support and motivation, most people are capable of great things. They will gain the skills if they have these things. "
154,,A68CA9,"Noone has the right to deny someone the opportunity to pursue a career that they want. Qualification as a doctor is due to academic success, which is not due to whether or not you can afford to pay tuition fees - you are giving access to the qualification, not deciding whether or not they can qualify. "
155,,A68CA9,"Student fees help to weed out the people that aren't really into the course. If it was cheap or for free "" what have you got to lose?"" "
156,,A68CA9,"If they did not have the required skills, they would not pass the course."
157,,A68CA9,I agree with a2
158,,A68CA9,We do not want to end up with a society where lower class people are kept doing menial work for low pay through generations. What if Stephen Hawkin was unable to attend university and his superior intelligence was never shared with the world. If we assume that only the well off deserve to be given the opportunity to continue their learning the we are all the poorer for it.
159,,A68CA9,The UCAS system will be in place to ensure that students are getting the correct grades to be able to get onto the course.
160,,A68CA9,High school diplomas and entry exams determine that. not fees.
161,,A1CA3,The government could cut down on prestige projects and arms and invest them into higher education instead
162,,A1CA3,More people may go to university if the fees are lower and less daunting.
163,,A1CA3,"Everyone in society benefits from education- the social benefits of having trained doctors, teachers etc far out weights the cost of taxes. "
164,,A1CA3,But we pay for many things with our taxes that some of us won't access. What about the people who have children and those that don't? Do we need to have special criteria for each person as to which taxes they spend? No - we all contibute to provide access for all. Education helps us to better society and it should be able to be accessed by all.
165,,A1CA3,"Taxes will always be what they are. If something drops off., something else will take its place. When have you ever known taxes to go down? "
166,,A1CA3,Some of it should be paid through taxes and some by the student.
167,,A1CA3,Burserys should be made available for more job subjects
168,,A1CA3,Taxes are not a shared pot only there to cover a persons presumed future needs. Taxes are a duty of a democratic society to help our fellow man. If we start limiting access to services based on contributions or the assumption of our not needing to use them then we inch slowly toward a world we only get help if you can pay for it in advance. I might never need to call an ambulance but I am glad I know I can if I need to and would never hesitate simply because I might not be able to pay the cost afterwards.
169,,A1CA3,"But I think it will encourage more people to attend university also many people pay for services through their taxes which they don't use, so I don't see how it's unfair "
170,,A1CA3,A lot of universities make profit too. Those profits could be used to lower the fees. The government would not have to fund everything
171,,A23CA8,"There are countries where university is entirely free. 9k is a high amount, not to mention the interest rate on the student loans. Universities, even if not free, should be at least cheaper"
172,,A23CA8,"Many jobs and well-paying careers require a university education , it is extremely competitive to get a job that would pay enough to alleviate university costs. "
173,,A23CA8,Under privileged students from low socio economic backgrounds will live in poverty forever even with a degree if they have to pay fees. They will he put off going even if they are the brightest student. 
174,,A23CA8,"There is no guarantee that you will get a job after your degree. The student loan does take a significant percentage from your monthly wage slip, which doesn't seem fair."
175,,A23CA8,As far as I understand you only have to pay back the money if you earn over a certain amount so ppl who cannot afford it are not expected to. 
176,,A23CA8,It is difficult for some graduates to find a well-paid job and the debt is too great.
177,,A23CA8,Fees should be relevant to the job wage you are training for
178,,A23CA8,Degrees no longer hold the same importance they once did and there is no guarantee a job will be there. A lifetime of debt hanging over someone is a heavy burden and recent stories of how young people have had their student loans badly managed or fraudulently handled highlight how little protections are in place for these people.
179,,A23CA8,"But they are not, Especially students who are entering creative fields there is not as much money placed into theses industries, and the government does not place as much funding into these courses"
180,,A23CA8,NAN
181,,A11CA17,"online platforms do not replace a university degree. Yes, you may learn just as much but a lot of employers want to see that piece of paper (diploma)"
182,,A11CA17,Scholarships are extremely difficult to get and are not always given without bias; online and cheap educations are sometimes looked down upon by employers than education from prestigious universities. 
183,,A11CA17,"True, letâ€™s make a system where people can learn and gain university qualifications whilst in the workplace. "
184,,A11CA17,"Online platforms are not as beneficial as face to face education - and what happens if the internet goes down or you miss a course announcement? University is also about the experience of moving away from home for the first time - it's about personal and social development, as well as academic. "
185,,A11CA17,That's what student loans are for. If you are on low income. You can get the loan. Finsh the course. Get a good paying job off the back of it and then be in a position to pay back the loan
186,,A11CA17,Universities provide the best higher education and there are not enough scholarships available for all talented students.
187,,A11CA17,Unfortunately apprenticeships aren't viable for everyone as they need to be able to afford to live and they pay less than it costs to live
188,,A11CA17,"These online platforms are not accessible to everyone (eg the disabled, underprivileged or homeless) scholarships should be there to help the best and brightest gain access to the top universities or specialists colleges overseas. They should not be the only channel for the most ignored people in our society to gain access to learning and growing."
189,,A11CA17,"But these platforms are very rarely offering an actual degree qualification. There is very little support for student trying to apply for scholarships at school, adn what do they do if they don't get it? This also bars students who are not seen as 
'talented' but the current education system.   "
190,,A11CA17,But certain professions require a university diploma. University is often not just about knowledge but about getting that piece of paper
191,,A66CA3,The interest rates are high and puts pressure on the student to find a highly paid job as fast as possible after graduating. 
192,,A66CA3,Prospective students who have family relying on them to be the main provider often cannot afford to take out a loan and can find it difficult to find a job that can support both their education and other needs and responsibilities.  
193,,A66CA3,Equality and fairness in a university student sample isnâ€™t there. Students from lower incomes just arenâ€™t represented- something puts them off. Possibly fees. 
194,,A66CA3,You should not have to take out a loan to access an education. There is a generation of renters instead of home owners now due to the fact they can't save enough to have a deposit - how is adding more debt to them going to help them get on the housing market? And how can you afford to pay back a mortgage if you don't have a good job? 
195,,A66CA3,In this world you only get what you are willing to put the work in for. If you put the energy and time in you can get what ever you want. 
196,,A66CA3,It is not as easy now to find a good job and there are too many graduates.
197,,A66CA3,"Unfortunately it isn't available to everyone when I wanted to study veterinary medicine at 17 a burserys wasn't available for that subject and no one would give a 17 year old with no credit rating a loan for over 12,000 pounds "
198,,A66CA3,"It may not be impossible but it is far too difficult for the people who already have so little that to ask them to find the means to borrow so much money for the student fees then also find a way to pay to live, many end up not even bothering to apply. Some of those that do end up having to sacrifice their time between working and learning that they end up disadvantaged against those who donâ€™t have to work and perpetuating the social imbalance."
199,,A66CA3,"Firstly it is very hard to juggle having a full time education with a job, and these loans have high interests rates which is essentially exploiting these kids because they don't typically have any other options.   "
200,,A66CA3,NAN
201,,A68CA16,fees should be written off when they find a job so they do not have a debt hanging over thier head
202,,A68CA16,Large fees may put young people off the idea of attending university
203,,A68CA16,Many graduate level jobs are very low pay and so the burden of student loan debt may be too much of a struggle for them to cope with even though they are in employment. This can lead to a debt problem at the very start of their career which escalates over time and can result in a life-long issue with debt
204,,A68CA16,"The loan still need to be paid. Once the job secured, it is natural would be to go on the property ladder, but student loan has to come first!"
205,,A68CA16,"Fees are not fair to people that live in poverty, Everyone should be entitied to free education."
206,,A68CA16,It would depend on how long a repayment period there is 
207,,A68CA16,Loans usually leave the student indebted for a long time 
208,,A68CA16,"So if people had bad credit scores, or didn't have the ability to access this loan, this would basically affect their chance to get a well paid job? "
209,,A68CA16,I believe in free education for all 
210,,A68CA16,It is still a loan. Young people should be worried about their debt at such an early stage
211,,A1CA4,giving free education opens the door for everyone to better themselves
212,,A1CA4,People are unlikely to willingly give up three years of their life just because university is free.
213,,A1CA4,"The introduction of university fees in the UK has demonstrated that the opposite has happened, standards have actually dropped in the past few decades which is evidenced by the existence of grade erosion. By paying for their university education students have been transformed into customers who feel they have an entitlement to a high grade simply because they have paid for it"
214,,A1CA4,Free education would offer more opportunities to underprivileged and increase the quality of life and services. More competition would cause more ambitions to learn.
215,,A1CA4,Some people would not be able to access university due to their financial circumstances.
216,,A1CA4,"Instead of making it free, make it a more affordable to those who want it"
217,,A1CA4,Free university could possibly increase the number of small businesses in the country
218,,A1CA4,"On the other hand it would enrich many peoples lives, many people who go on to have poorly paid jobs and bad life choices would be able to avoid that completely. "
219,,A1CA4,NAN
220,,A1CA4,"Education is not a waste, everyone should be able to attend University ."
221,,A23CA12,NAN
222,,A23CA12,I agree
223,,A23CA12,It's unfair to treat students differently by means testing whether or not they should repay their loans without any assistance.
224,,A23CA12,That's why the fees should be abolished or significantly reduced.
225,,A23CA12,"Going into adulthood with a lot of debt will not be good, and is not fair "
226,,A23CA12,The repayment should be a low percentage of their earnings
227,,A23CA12,They must know and be given sufficient advice and possible job opportunities before starting their degree
228,,A23CA12,"It should have nothing to do with earnings, debt is debt and no one should be made to enter it just for education "
229,,A23CA12,NAN
230,,A23CA12,No students should be worried about their debts at such an early age
231,,A11CA23,Students should be able to pay the loan back over their lifetime
232,,A11CA23,Not every student will be in a financial position to pay it back and will have the burden of a loan hanging over them well into adulthood
233,,A11CA23,"""Affordable"" and ""reasonable"" mean different things to different people and what might be affordable for one person would be onerous for another"
234,,A11CA23,There is not about information and promotion about the student loan being affordable for everyone. It is also has to be mention the support of the student whilst studying and getting degree.
235,,A11CA23,NaN 
236,,A11CA23,I agree with this wholeheartedly
237,,A11CA23,Everyone canâ€™t afford loans and end up defaulting on the loan or pay it back over an extreme amount of time as they didnâ€™t get the job they thought theyâ€™d get
238,,A11CA23,Some people would not be able to access these student loans and again this gets them into debt. 
239,,A11CA23,NAN
240,,A11CA23,Loans should be avoided at such a young age
241,,A66CA7,if students are paying for their education they will work harder to achieve their full potential 
242,,A66CA7,Scholarships are often only available to the privileged few
243,,A66CA7,There may be more exceptional students than there are scholarship opportunities and so capable students will miss out because of the competition for funding
244,,A66CA7,It is has been proved by the researchers that those who stand out have more financial opportunities to do so.
